8.82 -1.225
6.81 -1.865
6.65 -1.715
6.54 -1.865
6.78 -1.895
6.67 -1.815
7.33 -3.395
7.1 -3.075
6.98 -2.015
6.94 -2.115
7.04 -2.085
6.52 -2.345
7.03 -1.975
6.63 -2.155
7.14 -2.155
6.72 -1.825
6.98 -2.115
7.04 -2.075
7.02 -2.165
6.37 -2.035
7.29 -2.195
6.87 -1.985
6.88 -1.875
6.93 -1.995
7.19 -2.035
7.17 -2.255
6.66 -2.045
6.84 -2.095
6.02 -2.055
6.47 -2.165
6.52 -2.345
6.23 -1.635
6.26 -1.525
6.79 -2.015
6.39 -1.645
6.32 -1.805
6.37 -1.805
6.37 -1.785
6.05 -1.475
6.8 -2.355
6.39 -1.755
6.55 -1.895
6.53 -1.715
6.85 -1.985
6.44 -1.765
6.27 -1.255
6.32 -1.455
6.29 -2.405
6.72 -1.805
6.53 -1.895
6.4 -1.645
6.88 -2.105
6.03 -1.265
6.66 -1.695
6.67 -2.035
6.46 -2.155
6.51 -1.895
5.91 -1.635
6.39 -1.805
6.46 -1.605
6.11 -1.725
6.4 -1.805
6.66 -1.875
6.69 -1.825
6.17 -1.285
6.09 -1.185
6.06 -1.615
6.85 -1.925
6.61 -1.685
6.54 -1.995
6.44 -1.665
6.49 -1.455
6.04 -1.395
6.35 -1.925
6.4 -1.695
6.52 -1.585
6.48 -1.695
6.43 -1.755
6.46 -2.105
6.39 -2.005
6.47 -1.505
6.03 -1.105
6.62 -1.865
6.4 -1.335
6.95 -1.905
5.93 -0.975
6.63 -2.035
5.49 -0.605
6.9 -2.125
7.43 -2.365
7.28 -2.285
7.16 -2.685
6.61 -1.625
8.31 -3.525
8.95 -5.225
9.72 -5.125
8.67 -5.225
6.71 -2.405
7 -2.075
6.78 -1.975
