8.82 -1.225
6.65 -1.955
6.32 -1.785
6.14 -2.405
6.55 -1.955
6.49 -1.885
6.44 -2.135
7.21 -2.305
6.71 -2.255
6.87 -2.115
6.75 -2.485
7.33 -2.355
6.3 -2.265
6.68 -2.125
6.82 -2.045
6.52 -1.985
7.07 -2.165
6.38 -2.085
6.73 -2.095
6.94 -1.945
6.45 -1.725
6.88 -2.015
7.18 -1.865
7.27 -2.005
6.51 -1.925
6.92 -1.575
7.16 -2.385
6.93 -1.915
6.03 -1.635
6.73 -2.115
6.63 -1.965
6.53 -2.355
6.63 -1.935
5.93 -2.375
6.93 -2.175
6.93 -2.015
7.28 -3.205
7.01 -2.265
6.83 -2.045
6.43 -2.135
6.03 -1.815
7.76 -3.555
7.05 -2.315
7.17 -2.925
7.52 -2.985
6.52 -2.455
6.43 -2.895
6.71 -2.235
6.62 -2.335
6.47 -1.795
6.34 -1.745
6.49 -3.485
6.36 -2.075
6.74 -1.825
6.99 -2.965
6.7 -2.165
6.81 -1.935
7.01 -2.455
6.41 -2.735
6.38 -1.725
6.85 -2.575
6.53 -2.165
7.36 -3.315
6.73 -2.605
6.86 -3.675
6.7 -1.985
6.69 -2.025
7.18 -2.355
6.54 -1.625
6.89 -2.525
6.88 -2.275
6.67 -1.925
6.59 -1.515
6.32 -1.575
6.85 -3.085
6.7 -2.615
6.7 -2.215
6.42 -2.435
6.77 -2.055
6.58 -2.065
7.01 -3.055
6.74 -2.065
6.02 -1.265
6.98 -2.935
7.09 -3.615
6.76 -2.005
6.79 -3.065
6.35 -1.855
6.69 -1.845
6.8 -2.395
6.85 -2.235
6.4 -1.315
6.95 -1.955
7.06 -3.375
6.98 -2.155
6.73 -2.265
6.57 -2.075
6.87 -2.035
6.78 -1.965
6.83 -2.645
6.64 -1.735
6.56 -2.235
6.78 -2.155
6.57 -1.945
6.61 -1.765
6.78 -2.395
6.39 -2.085
6.53 -2.315
6.47 -2.055
6.88 -2.235
8.16 -3.525
8.3 -3.725
8.69 -4.525
7.01 -2.125
7.11 -2.325
6.88 -1.835
6.63 -2.135
6.57 -2.135
4.71 -0.835
5.28 -0.925
6.92 -1.905
